Group A,Group B,t_stat,p_value
L1,L2,0.9853553401072901,0.3802344119913735
L1,ElasticNet(l1=0.5),0.662752609054165,0.5437288179312425
L2,ElasticNet(l1=0.5),-1.1506110287178002,0.31399743080124176
