Pipeline,Dataset,pr_auc_mean,pr_auc_std,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,accuracy_mean,accuracy_std
A,uci_seizure,0.4636594881738832,0.02699983362888641,0.045541618932462294,0.01410483933743318,0.0233695652173913,0.007412055270101008,0.9818181818181818,0.036363636363636376,0.8045652173913045,0.0014420107784153763
B,uci_seizure,0.4803777748517734,0.01079862611963201,0.10485167054759414,0.013396019658613478,0.055434782608695644,0.007412055270101009,0.980952380952381,0.03809523809523809,0.8108695652173912,0.001648451183489469
A,bonn_eeg,0.8821119403812631,0.02727224271989099,0.7550256792917491,0.04721347201143932,0.6875,0.07905694150420949,0.8505772005772005,0.0867621942448966,0.8225,0.03482097069296031
B,bonn_eeg,0.8807989545045107,0.028104555297698057,0.7384254959293658,0.05473382266068053,0.6625,0.09560661587986471,0.8500418660287081,0.07143024386301759,0.8150000000000001,0.03482097069296029
C,bonn_eeg,0.7649986137039114,0.032591508806275905,0.6315708214068869,0.029863545505593402,0.5625,0.03952847075210474,0.7255933721450963,0.058835298746761314,0.7375,0.025000000000000022
A,eeg_eye_state,0.6175519405431478,0.0070115456234059815,0.5460811800239768,0.01357199073877382,0.4875480245526066,0.019746313616180823,0.6213099820195574,0.013313690858048776,0.6365160819416034,0.008401674178288973
B,eeg_eye_state,0.5587420160032688,0.00928893864084204,0.3700873168500629,0.014728937353251424,0.2867239560819573,0.017248086246091095,0.5232029240859359,0.013634809237889399,0.562499451526428,0.006077316640442543
