Group A,Group B,t_stat,p_value
L1,L2,-0.11109413102054716,0.9139797644860868
L1,ElasticNet(l1=0.5),0.4002823452259936,0.6982834645497635
L2,ElasticNet(l1=0.5),0.3028396819267353,0.7688948571011707
